FROMNODENO,TONODENO,WKT
30165,30586,"LINESTRING (-1.50841151671958 52.4398358050887, -1.50859413633554 52.4406396957926)"
30586,30165,"LINESTRING (-1.50859413633554 52.4406396957926, -1.50841151671958 52.4398358050887)"
30632,30635,"LINESTRING (-1.51036205137348 52.4068029233328, -1.5099220074633 52.407588020906)"
30635,30632,"LINESTRING (-1.5099220074633 52.407588020906, -1.51036205137348 52.4068029233328)"
30456,30631,"LINESTRING (-1.5122209639687 52.412317630749, -1.5119952658424 52.4123700789296)"
30631,30456,"LINESTRING (-1.5119952658424 52.4123700789296, -1.5122209639687 52.412317630749)"
30148,30168,"LINESTRING (-1.51399240059221 52.3697446380875, -1.50884582692557 52.3742544388872)"
30168,30148,"LINESTRING (-1.50884582692557 52.3742544388872, -1.51399240059221 52.3697446380875)"
30151,30488,"LINESTRING (-1.51324352242881 52.4099111497526, -1.51224892572343 52.4102564169719)"
30488,30151,"LINESTRING (-1.51224892572343 52.4102564169719, -1.51324352242881 52.4099111497526)"
30142,30347,"LINESTRING (-1.51561484110987 52.3919570666047, -1.51558720619171 52.3916288120658)"
30347,30142,"LINESTRING (-1.51558720619171 52.3916288120658, -1.51561484110987 52.3919570666047)"
30136,30350,"LINESTRING (-1.51655639060272 52.3985866730791, -1.51691051398011 52.3966234429379)"
30350,30136,"LINESTRING (-1.51691051398011 52.3966234429379, -1.51655639060272 52.3985866730791)"
30144,30457,"LINESTRING (-1.514823727229 52.4145281085513, -1.51508781336793 52.4120642067698)"
30457,30144,"LINESTRING (-1.51508781336793 52.4120642067698, -1.514823727229 52.4145281085513)"
30129,30130,"LINESTRING (-1.519703644888 52.4214164823516, -1.51890734173868 52.4202715006744)"
30130,30129,"LINESTRING (-1.51890734173868 52.4202715006744, -1.519703644888 52.4214164823516)"
